slug,description
1-pc-lord-ganesh-on-leaf-patta-wall-hanging-blue,"Package Contains 1 Pc of Designer Lord Ganesh on Leaf Statue. Each Comes with Premium Gift Packing. Material: Metal, Dimensions: Length - 17.65 cm, Width: 14 cm, Weight: 180 grams About Product: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices and Mandir. This Ganpati Sculpture has detailed work and it is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is known as the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamp, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Lord Ganesha wall hanging | Ganesh on leaf wall decor | Blue Ganpati patta hanging | Spiritual wall art Ganesh | Ganesh leaf wall hanging | Decorative Ganpati hanging for home | Ganesha metal wall hanging |"
1-pc-lord-ganesh-on-leaf-patta-wall-hanging-green,"Package Contains 1 Pc of Designer Lord Ganesh on Leaf Statue. Each Comes with Premium Gift Packing. Material: Metal, Dimensions: Length - 17.65 cm, Width: 14 cm, Weight: 180 grams About Product: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and it is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is known as the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamp, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Lord Ganesha green wall hanging | Ganesh on leaf patta decor | Green Ganpati wall art | Ganesha leaf wall decor | Spiritual wall hanging Ganpati | Metal Ganesh wall piece | Decorative Ganesh wall hanging |"
1-pc-lord-ganesh-on-leaf-patta-wall-hanging-red,"Package Contains 1 Pc of Designer Lord Ganesh on Leaf Statue. Each Comes with Premium Gift Packing. Material: Metal, Dimensions: Length - 17.65 cm, Width: 14 cm, Weight: 180 grams About Product: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and it is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is known as the most suitable Ganesha posture that ensures good luck and prosperity. To consider this, we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamp, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Diwali Candles, Candle Holders, Candle Stand, Tea Light Candle Holder. Use the above items to decorate your home. Lord Ganesh wall hanging red | Ganesh on red leaf wall decor | Red patta Ganpati wall hanging | Decorative Ganesh wall art | Ganpati home wall decoration | Spiritual Ganesha leaf wall hanging |"
1-pc-lord-ganesh-on-leaf-patta-wall-hanging-white,"Package Contains 1 Pc of Designer Lord Ganesh on Leaf Statue. Each Comes with Premium Gift Packing. Material: Metal, Dimensions: Length - 17.65 cm, Width: 14 cm, Weight: 180 grams About Product: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and mandirs. This Ganpati Sculpture has detailed work and it is made up of premium-quality material. Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is known as the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamp, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Lord Ganesh wall hanging white | Ganesh on white leaf wall decor | White patta Ganpati wall hanging | Decorative Ganesh wall art | Ganpati home wall decoration | Spiritual Ganesha leaf wall hanging |"
1-pc-lord-ganesh-on-leaf-patta-wall-hanging-yellow,"Package Contains 1 Pc of Designer Lord Ganesh on Leaf Statue. Each Comes with Premium Gift Packing. Material: Metal, Dimensions: Length - 17.65 cm, Width: 14 cm, Weight: 180 grams About product: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and it is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is known as the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamp, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Diwali candles, candle holders, candle stands, and tea light candle holders. Use the above items to decorate your home. Lord Ganesha yellow wall hanging | Ganesh leaf patta wall décor | Yellow Ganpati wall art | Decorative Ganesh wall piece | Ganpati home decor wall hanging | Spiritual Ganesh wall hanging |"
1-pc-lord-ganesha-metal-diya,"Item Name: 1 Pc Lord Ganesha Metal Diya Material: Made of 100% Pure Virgin Metal. Sturdy, Durable and Long Lasting. Dimensions: Diameter: Width: 5 cm , Height: 8.35 cm. Weight: 70 Grams (Each Diya) About Product: Satvik Beautiful Metal statue of Ganesh with Attached Diya in Traditional Indian style - Diwali Special Terracotta. This designer handicraft is perfect for Diwali Decoration in the Living Room, Mandir, and Dining Room You can place it at every corner of your home to feel the warmth of the festival. This handmade Diwali handicraft is very artistically designed. Diyas are an essential part of Diwali decoration. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lentern, big diyas, laxmi ganesha statue, luxmi, lakshmi, lord ganesha, Ganpati, diwali pujan, deepmala. Use the above items to decorate your home. Lord Ganesha Diya | Metal Ganesha Lamp | Ganesha Pooja Diya | Ganesha Idol Diya | Spiritual Metal Diya | Hindu Ritual Lamp | Ganesha Home Decor | Religious Diya | Pooja Lamp |"
1-pc-white-cotton-janeu-thread-safed-janeu-for-puja-rituals,"Item Name: White Cotton Janeu for Yanopaveeths Package Contains: 1 Pc. of White Janeu. Who can Wear Janeu: Janeu is a sacred strand of threads worn by orthodox male hindus. Janeu has been a part of the Hindu culture for a very long time now. Temples are one of the most common places, in Indian society, where one can observe brahmin or the priest wearing a Janeu. The Purpose of Janeu: Janeu or Janoi - three sacred and holy cotton threads is symbol of spirituality, sacrifice, mother, role model etc. Wearing Janeu on the left shoulder represent three core idea of Hinduism, focusing on the spiritual journey; don't forget the responsibility towards the parent and spiritual teachers. Note : Package content Only one piece of Janeu (Shown in Second Image) Also Known As: Upanayana, janai or janea, poita, Yagnopavita, or Bratabandha, is one of the traditional saṃskāras (rites of passage) that marked the acceptance of a student by a guru (teacher or tutor) and an individual's entrance to a school in Hinduism . Janeu has a big religious importance in Hinduism. The strands of the thread stands for purity of thoughts, words and deeds of the wearer. Yagnopaveeths are totally handmade. Good Quality janeu thin thread janew. It is given as a popular puja item and is also an important ingredient of donation (daan) to bhramins . Yellow Janeu Thread | Cotton Janeu for Pooja | Yagnopaveeth Thread | Sacred Thread for Rituals | Spiritual Janeu | Hindu Ceremony Thread | Pooja Essentials | Upanayana Thread | Traditional Janeu | Brahmin Janeu | Yajna Thread | Holy Thread | Pooja Accessories | Puja Janeu | Spiritual Thread | Sacred Yagnopaveeth | Yellow Sacred Thread | Ritual Thread for Worship"
10-11mm-semi-pathriya-rudraksha-mala,"Package Contains: 1 Pc 10-11mm Semi Pathriya Rudraksha Mala Material: Original Semi Pathariya Rudraksha Mala Beads Bead Size- 10-11mm Certification: Yes, OSOC™ Certified. Know More about OSOC™ Click Here About Product: The Semi Pathariya Rudraksha Mala is a sacred rosary crafted from natural Elaeocarpus ganitrus beads. Known for its earthy texture and subtle energy, this mala is perfect for meditation, prayer, and daily spiritual alignment. The beads exhibit a warm brown tone and are moderately textured, offering a natural connection to divine energies. This mala is traditionally used in japa (mantra chanting) and spiritual practices across various dharmic traditions. It helps the wearer maintain a centered mind, emotional strength, and spiritual awareness. Ideal for those seeking a blend of aesthetic simplicity and spiritual significance. Product Details: Uses of Stone Used in spiritual rituals and mantra chanting Enhances focus during meditation Helps regulate energy flow and inner calm Supports spiritual progress and purification of thoughts Benefits of the Mala Brings emotional balance and mental clarity Shields against negative energies Promotes peace and mindfulness Strengthens spiritual discipline and consistency Aids in spiritual healing and personal growth How to Use Wear around the neck or use during meditation and chanting. Before use, energize the mala with the given Beej Mantra. Ideal to wear during sunrise or spiritual practices for maximum benefits. semi pathariya rudraksha mala | rudraksha mala brown beads | spiritual japa mala | pathari rudraksha beads | traditional rudraksha mala | rudraksha for mantra chanting"
10-2-inch-beautiful-brass-saraswati-idol-saraswati-mata-murti,"Item Name : 10.2 Inch Beautiful Brass Saraswati Idol | Saraswati Mata Murti Material : The Saraswati Mata Murti is made from High-Quality Brass Material Size/Dimension : Height: 26 cm , Length : 18 cm Weight : 4900 Grams (approx) About Product : Elevate your spiritual space with our finely crafted brass Saraswati Maa idol. Symbolizing wisdom and creativity, this exquisite piece radiates divine grace and inspires artistic expression. Perfect for devotees seeking enlightenment and blessings in their daily lives. Saraswati Maa | Saraswati Mata | Saraswati Maa Brass Idol | Saraswati Idol | Saraswati Maa Murti | Brass Saraswati Maa Idol Brass Saraswati Mata Statue | Handmade Brass Saraswati Mata Statue | Brass Saraswati Mata Idol for Temple Decor | Best Gift for Housewarming | Antique Finish Brass Idol | Exclusive Brass Saraswati Mata Idol | Divine Saraswati statue | Goddess Saraswati home decor | Brass goddess Saraswati"
10-2-inch-brass-ganpati-idol-on-swing-jhula-lord-ganesha-idol,"Item Name : 10.2 Inch Brass Ganpati Idol On Swing Jhula | Lord Ganesha Idol Material : The Vinayak Idol is made from Pure Brass Virgin Material. Size/ Dimension : Height: 26 cm, Length: 26 cm Weight : 3380 Grams (Approx) About Product: Lord Ganesha, also known as Ganapati or Vinayaka, one of the most beloved gods in India. As the god of new beginnings and the remover of obstacles, people pray to him at the start of new projects. Lord Ganesh, Ganpati, is known for Blessing Good Health and Wealth. The Idol is made from premium-quality material for long-lasting use. Handmade product from the Artisanship of India's Craftsman Using Modern Style. Brass Ganesh Statue | Ganesh Brass Idol | Ganesh Brass Murti | Ganpati Statue | Brass Ganesh | Lord Ganesha Idol for Home | Brass Lord Ganesha Idol | Brass Ganesh idol for Home Temple | Brass Gift Item for Housewarming | Premium Brass Idol for Sale | Handmade Brass Ganesh Idol | Antique Finish Ganesh Idol |"
10-2-inch-elegant-brass-ram-darbar-murti-large,"Item Name : 10.2 Inch Elegant Brass Ram Darbar Murti - Large Material : High-Quality Brass. Dimension : Height: 26 cm, Length: 21.3 cm, Width: 9 cm Weight : 3700 gms About Product: Bring divine grace and positivity into your home with this beautifully crafted Brass Small Ram Darbar Idol , featuring Lord Rama, Sita, Lakshman, and Hanuman. Symbolizing love, devotion, and protection, this intricately detailed idol is perfect for enhancing your home temple, Pooja room, or spiritual décor. Made from high-quality brass, it combines elegance with durability, ensuring it remains a cherished piece for years. Its compact size makes it ideal for smaller spaces while still exuding a majestic presence. Perfect for daily worship or as a thoughtful gift for festivals, housewarmings, or special occasions, this Ram Darbar statue adds a touch of sacred beauty and divine blessings to any space. Puja Room Decor | Brass Gift Item for Housewarming | Premium Brass Idol | Handmade Brass Ram Darbar Statue | Antique Finish Ram Darbar Statue | Exclusive Brass Idol | Brass Idol | Ram Darbar Statue for Puja |"
